Date,Brisbane,Perth,Melbourne
01/01/2021,2.4,0,0
02/01/2021,1.8,0,0
03/01/2021,0,0,12.6
04/01/2021,0,0,2.6
05/01/2021,1,0,11.2
06/01/2021,0.4,0,1.2
07/01/2021,2.8,0,0
08/01/2021,0,0,0
09/01/2021,5.6,0,0
10/01/2021,0.6,0,0
11/01/2021,0,0,0
12/01/2021,0,0,0
13/01/2021,0,0,0
14/01/2021,0,NA,0
15/01/2021,0,0,0
16/01/2021,0,0,2.6
17/01/2021,31.6,0,0
18/01/2021,0,0,0
19/01/2021,35.4,0.2,0
20/01/2021,0,0,0
21/01/2021,0,0,0
22/01/2021,0,0,0
23/01/2021,0,0,0
24/01/2021,0,0,0
25/01/2021,4.4,0,0
26/01/2021,0,0,10.6
27/01/2021,0.2,0,0.4
28/01/2021,0.4,0,0
29/01/2021,0,0,3.6
30/01/2021,0,0,43.2
31/01/2021,0,0,0
01/02/2021,1.4,0,0
02/02/2021,19.8,0,0
03/02/2021,44.6,0,0
04/02/2021,0.2,0,0
05/02/2021,0.2,0,0.4
06/02/2021,0,0,1.6
07/02/2021,0,19.6,1.8
08/02/2021,0.6,16,0.4
09/02/2021,0,0.8,0
10/02/2021,0,0.6,0
11/02/2021,0,0,0
12/02/2021,0,0,4.6
13/02/2021,0,0,0
14/02/2021,1.6,0,0
15/02/2021,0.2,0,0
16/02/2021,0,0,0
17/02/2021,5.4,0,0
18/02/2021,16.6,1.6,0
19/02/2021,12.2,0,0
20/02/2021,0.4,0,0
21/02/2021,1.2,0,0
22/02/2021,0,0,0
23/02/2021,8.2,0,0
24/02/2021,10.6,0,0
25/02/2021,16.8,0,0
26/02/2021,0.2,0,0.4
27/02/2021,0,0,0
28/02/2021,4,0,0
01/03/2021,0,10.6,0
02/03/2021,0,15.6,0
03/03/2021,6.2,3.6,0
04/03/2021,0.6,3.4,0
05/03/2021,0,0.8,1.4
06/03/2021,0,0,0
07/03/2021,0,0,0
08/03/2021,0,0,0.2
09/03/2021,25.6,0,5.4
10/03/2021,0,0,0.2
11/03/2021,0,0,0
12/03/2021,0.8,5.2,0
13/03/2021,0.4,0.2,0
14/03/2021,0.2,0,17.2
15/03/2021,6.6,0,0
16/03/2021,12.4,0,0
17/03/2021,11.6,0,0
18/03/2021,15.4,0,0
19/03/2021,0,0,0
20/03/2021,20.8,0,0
21/03/2021,1,0,1.2
22/03/2021,125,0,5.6
23/03/2021,52.6,0,13.8
24/03/2021,21.4,0,0.6
25/03/2021,0,0,4.6
26/03/2021,0,0,0.2
27/03/2021,0,0,3.4
28/03/2021,0,0,0
29/03/2021,0,0,1
30/03/2021,0,0.4,0
31/03/2021,0,0.8,0
01/04/2021,0,1,0
02/04/2021,2.8,0,0
03/04/2021,0,0,0
04/04/2021,8.4,1.4,0
05/04/2021,9.4,0,0
06/04/2021,45.4,0,0
07/04/2021,20.6,0.2,0
08/04/2021,0,0,0
09/04/2021,0,0,6.2
10/04/2021,0,0,0.2
11/04/2021,0,4.4,3.4
12/04/2021,0.2,14.8,10
13/04/2021,0,1.4,0.6
14/04/2021,0,0,0
15/04/2021,0,0,0
16/04/2021,0,0,1
17/04/2021,0,0,0
18/04/2021,24.6,0,0
19/04/2021,0.2,0,0
20/04/2021,0,0,0
21/04/2021,0,0,10.4
22/04/2021,0,0,0
23/04/2021,0,0,0.4
24/04/2021,0,0,0
25/04/2021,0,0,2.6
26/04/2021,0,0,1.2
27/04/2021,0,0,0.6
28/04/2021,0,0,0.4
29/04/2021,0.6,0,0
30/04/2021,0,17.4,0
01/05/2021,6.2,0,0
02/05/2021,12,0,0
03/05/2021,2.4,0,0.2
04/05/2021,0.2,0,30.8
05/05/2021,17.6,46.2,0
06/05/2021,18.8,4.2,0
07/05/2021,0,1.2,0.2
08/05/2021,0,0,0
09/05/2021,0,0,0.4
10/05/2021,0,0,0.2
11/05/2021,0,0,15.8
12/05/2021,7.8,0.2,0.8
13/05/2021,24.8,0,0
14/05/2021,0,0,4.2
15/05/2021,0,0,7.4
16/05/2021,0,0,0.2
17/05/2021,0,0,0.4
18/05/2021,0,0,0
19/05/2021,0,0,0
20/05/2021,0,0,0
21/05/2021,0,0,0
22/05/2021,0,0,0
23/05/2021,0,5,0
24/05/2021,0,16,0
25/05/2021,0,2,0
26/05/2021,0,0,5
27/05/2021,0,0,0.4
28/05/2021,0,0,0.4
29/05/2021,0,11.4,0
30/05/2021,0,26,0
31/05/2021,0,1.4,0
01/06/2021,0,0,0
02/06/2021,0,0,0
03/06/2021,0,0,0.2
04/06/2021,4.4,0,2
05/06/2021,0,0,0
06/06/2021,0,0,0
07/06/2021,0,0.6,0
08/06/2021,0,0,3
09/06/2021,1.4,0,4
10/06/2021,0,13.6,12
11/06/2021,0,5.8,0.4
12/06/2021,0,0.2,9.4
13/06/2021,NA,0,0
14/06/2021,0,5.6,0
15/06/2021,0,5.2,0
16/06/2021,14,1.2,1.8
17/06/2021,0.2,NA,0.8
18/06/2021,0,0,1.6
19/06/2021,0,0,2.2
20/06/2021,0,24.8,0
21/06/2021,0,13,0.2
22/06/2021,0,0,0
23/06/2021,0.2,0,0
24/06/2021,0.8,0,0
25/06/2021,1.4,0,0.6
26/06/2021,2.2,0,5.6
27/06/2021,0,0,0
28/06/2021,0,7,0
29/06/2021,0,16.2,0
30/06/2021,1.8,0.4,0
01/07/2021,7,1.4,0
02/07/2021,7,0,0.2
03/07/2021,17.8,0,6.6
04/07/2021,2.8,1.4,0.2
05/07/2021,0,44.6,0.4
06/07/2021,0,7.4,0
07/07/2021,0,23.6,0
08/07/2021,0,4.6,NA
09/07/2021,10,4.2,NA
10/07/2021,1.4,30,0
11/07/2021,0.2,0.6,0
12/07/2021,0,9.6,0
13/07/2021,0,13.4,0.4
14/07/2021,0,14,2.2
15/07/2021,0,2,3
16/07/2021,0.2,13.4,0.2
17/07/2021,0.6,2.8,0.2
18/07/2021,0,1.2,4.2
19/07/2021,0,5.4,0
20/07/2021,0,1.6,0.6
21/07/2021,0,29.6,10.8
22/07/2021,0,0,0.6
23/07/2021,0,1.8,0
24/07/2021,4.2,2,0
25/07/2021,0,0.6,0.8
26/07/2021,0,0.2,0
27/07/2021,0,30.4,0
28/07/2021,0,5.8,0
29/07/2021,0,6.4,0.8
30/07/2021,0,7,0
31/07/2021,0,6.4,0
01/08/2021,0,8.8,18
02/08/2021,NA,2.6,0
03/08/2021,0,0,4.8
04/08/2021,0,0,0.6
05/08/2021,0,0,0.4
06/08/2021,0,0,0.2
07/08/2021,0,0,0
08/08/2021,0,3.8,0.6
09/08/2021,1.4,5.2,0
10/08/2021,0,6.4,0
11/08/2021,0.2,4.2,0
12/08/2021,0,1.2,2.8
13/08/2021,0.2,0,0
14/08/2021,1.8,0,0
15/08/2021,0,0,0
16/08/2021,0,0,0.2
17/08/2021,0,0.2,0.4
18/08/2021,0,1.2,0.6
19/08/2021,0,1,0
20/08/2021,0.2,11.8,0.8
21/08/2021,0,0.2,1
22/08/2021,0,0.8,0
23/08/2021,0,0,0.8
24/08/2021,4.2,0,10.4
25/08/2021,0.4,0,2.2
26/08/2021,NA,0.6,1.2
27/08/2021,NA,2.4,0
28/08/2021,0,0,0
29/08/2021,0,2.4,0.6
30/08/2021,0,2.8,4
31/08/2021,0,1.2,0
01/09/2021,0,3.4,0
02/09/2021,3.4,10.4,0
03/09/2021,0.2,4.6,0
04/09/2021,2.2,0.2,38.2
05/09/2021,0,0,9.6
06/09/2021,0.2,0,1
07/09/2021,0,0,0
08/09/2021,0,0,0
09/09/2021,0,4.8,0
10/09/2021,0,3.2,0
11/09/2021,0,3.6,0
12/09/2021,0,0,0
13/09/2021,0,0,5.6
14/09/2021,0.8,0,0.2
15/09/2021,0,0,0.2
16/09/2021,0,9.8,0
17/09/2021,0,3.8,0
18/09/2021,0,0,0.8
19/09/2021,0,0.8,0.8
20/09/2021,0,0,0.4
21/09/2021,0,0,8
22/09/2021,0,0,0.2
23/09/2021,NA,0,0
24/09/2021,NA,0,0
25/09/2021,0,0,0
26/09/2021,0,10.8,0.2
27/09/2021,0.4,1.4,0
28/09/2021,0,0,0
29/09/2021,0.2,0,0
30/09/2021,3.4,5.4,3.4
01/10/2021,15,8.4,21.8
02/10/2021,8.8,15.4,11.6
03/10/2021,0,5.6,0
04/10/2021,0,0,1
05/10/2021,0,4.2,2.2
06/10/2021,0,0,0.2
07/10/2021,0,0,4
08/10/2021,0.6,4.6,0
09/10/2021,0,0,0
10/10/2021,0,0,2.2
11/10/2021,0,0,0.4
12/10/2021,35.2,7.4,0
13/10/2021,0.6,0,0
14/10/2021,51.4,0,14.8
15/10/2021,0.8,0,0.6
16/10/2021,0.2,0,26.4
17/10/2021,0,0,0.4
18/10/2021,0,0,0
19/10/2021,18,11.2,0.8
20/10/2021,0,26.4,0
21/10/2021,2.4,1.6,0
22/10/2021,9.2,2.2,0
23/10/2021,0.2,0,14.6
24/10/2021,2.6,0,2
25/10/2021,0.2,2.6,0.8
26/10/2021,1.4,5.4,0
27/10/2021,0,26.8,0
28/10/2021,0,1,0.2
29/10/2021,0.4,0,5
30/10/2021,0.4,0,1
31/10/2021,12,0,0.4
01/11/2021,0,0.8,0
02/11/2021,0,0,0
03/11/2021,0.2,0,0
04/11/2021,0,0,45.4
05/11/2021,0,0,0
06/11/2021,1.2,0,0
07/11/2021,0,0,15.4
08/11/2021,12.6,0,0.2
09/11/2021,2.4,40.4,0
10/11/2021,0,0,10
11/11/2021,2.4,0,10
12/11/2021,26.6,0,1
13/11/2021,0.2,0,10.4
14/11/2021,0,0,1.6
15/11/2021,0,0,1.6
16/11/2021,0,0,0.2
17/11/2021,0,NA,0
18/11/2021,0.6,0,0
19/11/2021,0,0,0.2
20/11/2021,0,0,0
21/11/2021,0,0,0
22/11/2021,23.6,6.8,0
23/11/2021,13.2,0,0
24/11/2021,121,0,0
25/11/2021,13.2,0,0
26/11/2021,9.8,0,0.6
27/11/2021,0.2,0,0
28/11/2021,0,0,0
29/11/2021,0,0,0
30/11/2021,30.2,0,0
01/12/2021,75.4,0,0
02/12/2021,5.2,0,11.8
03/12/2021,NA,0,8.8
04/12/2021,NA,0,0
05/12/2021,NA,0,0
06/12/2021,NA,0,0
07/12/2021,NA,0,0.6
08/12/2021,NA,0,2
09/12/2021,NA,0,1.8
10/12/2021,17.8,0,0
11/12/2021,NA,0,0
12/12/2021,0,0,0
13/12/2021,0,0,0
14/12/2021,0,0,0
15/12/2021,0,0,0
16/12/2021,0,0,0
17/12/2021,0,3.2,0
18/12/2021,1.6,0,0
19/12/2021,0,0.4,0
20/12/2021,0,0,1.8
21/12/2021,0,0,0
22/12/2021,0,0,0
23/12/2021,0,0,0
24/12/2021,17,0,0
25/12/2021,0,0,0
26/12/2021,7.6,0,0
27/12/2021,0,0,0.2
28/12/2021,14.6,0,0
29/12/2021,0,0,0
30/12/2021,0,0,0
31/12/2021,0,0,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
